frames,Bikes_area_percent,Cars_area_percent
1,0.007161713583731933,0.022514310358347056
2,0.008282364933741081,0.05064712442388283
3,0.013090601775617066,0.04653371320037987
4,0.01391502652970543,0.05883256227292925
5,0.012039650801118691,0.06004578443416364
6,0.015937426487885202,0.05052405969837163
7,0.0024122864336931617,0.07288807862202358
8,0.007910992620472743,0.04141073560033805
9,0.0036734276030912115,0.05709005288515992
10,0.01073167969192434,0.06246569434642829
11,0.0046982409367730465,0.06339140245868075
12,0.009693797537834234,0.060601209301515115
13,0.0068785558082194165,0.06543994005767706
14,0.00695587966230168,0.04109054950033543
15,0.013057929724596391,0.049293412443259535
16,0.00726408601026338,0.04798870853916726
17,0.007248839053120399,0.04798544133406519
18,0.012571116164388335,0.07602350645164101
19,0.015282896399104351,0.05953718950660847
20,0.017456676860346586,0.052409237042264564
21,0.011529966805196162,0.05663264417087047
22,0.01270071530010368,0.05383918380860277
23,0.013192974202148515,0.03829926727480244
24,0.00357976772349861,0.03950922223093477
25,0.005125155736776532,0.04802682593202471
26,0.005143669899021581,0.025088867978776234
27,0.01478954842869216,0.04693340129119945
28,0.01228795838887582,0.03949070806868972
