Frame_no,cars_count,car_area,car_area_in_percent,density
1,5,50059,16.355302020439634,0.17857142857142858
2,8,90967,29.72078465197731,0.2857142857142857
3,10,121915,39.83213100185578,0.35714285714285715
4,9,140427,45.880381086803105,0.32142857142857145
5,12,117624,38.430173292558614,0.42857142857142855
6,7,91667,29.949489009122036,0.25
7,10,133859,43.73448077576518,0.35714285714285715
8,5,62914,20.555294179147392,0.17857142857142858
9,8,111335,36.37542800386837,0.2857142857142857
10,11,128425,41.959081523301705,0.39285714285714285
11,8,119066,38.901304268276746,0.2857142857142857
12,10,133049,43.46983716249772,0.35714285714285715
13,8,129063,42.16752920881361,0.2857142857142857
14,6,84599,27.640228442980735,0.21428571428571427
15,9,105973,34.623552628139784,0.32142857142857145
16,8,102552,33.5058417627225,0.2857142857142857
17,10,147585,48.21904649886301,0.35714285714285715
18,12,165840,54.18332941268721,0.42857142857142855
19,9,129707,42.37793721738676,0.32142857142857145
20,9,125202,40.90606131890536,0.32142857142857145
21,13,156283,51.06086149664131,0.4642857142857143
22,11,152547,49.8402336705089,0.39285714285714285
23,8,124428,40.653179644005334,0.2857142857142857
24,6,93236,30.462113489636426,0.21428571428571427
25,9,131582,42.990538174024415,0.32142857142857145
26,4,67586,22.08173240283332,0.14285714285714285
27,9,123776,40.44015787135053,0.32142857142857145
28,12,141924,46.36948169058261,0.42857142857142855
